id_auditeur,v_1,v_2,v_3,v_4,v_5,v_6,assignation,voeu_realise
50,ANGERS,LA ROCHE-SUR-YON,RENNES,LE MANS,LES SABLES-D'OLONNE,CLERMONT-FERRAND,LA ROCHE-SUR-YON,2
51,AVIGNON,NIMES,CARPENTRAS,TOULON,PRIVAS,GAP,CARPENTRAS,3
52,SENLIS,BEAUVAIS,AMIENS,BOBIGNY,LILLE,COMPIEGNE,BEAUVAIS,2
53,ANGOULEME,AGEN,SAINTES,PERIGUEUX,PAU,NIORT,SAINTES,3
54,CARPENTRAS,DIGNE-LES-BAINS,MARSEILLE,AVIGNON,TOULON,GAP,DIGNE-LES-BAINS,2
55,DRAGUIGNAN,AVIGNON,BASTIA,DIGNE-LES-BAINS,GAP,CHAMBERY,DRAGUIGNAN,1
56,SAVERNE,COLMAR,METZ,THIONVILLE,NANCY,MULHOUSE,THIONVILLE,4
57,BOURG-EN-BRESSE,STRASBOURG,COLMAR,LE HAVRE,METZ,BOULOGNE-SUR-MER,BOURG-EN-BRESSE,1
58,ANGOULEME,LA ROCHELLE,POITIERS,SAINTES,PAU,LIMOGES,ANGOULEME,1
59,ANGOULEME,AGEN,PERIGUEUX,POITIERS,PAU,LIMOGES,AGEN,2
60,TOULOUSE,MONTAUBAN,AGEN,ALBI,CASTRES,CAHORS,CASTRES,5
61,BREST,LORIENT,QUIMPER,SAINT-NAZAIRE,CLERMONT-FERRAND,BAYONNE,BREST,1
62,TOULON,AIX-EN-PROVENCE,AVIGNON,DRAGUIGNAN,PAU,CLERMONT-FERRAND,TOULON,1
63,MARSEILLE,TOULOUSE,AIX-EN-PROVENCE,NIMES,PERPIGNAN,PAU,TOULOUSE,2
64,BAYONNE,LA ROCHELLE,MONT-DE-MARSAN,TOULOUSE,PAU,TARBES,MONT-DE-MARSAN,3
65,ANNECY,BOURG-EN-BRESSE,THONON-LES-BAINS,GRENOBLE,BONNEVILLE,ALBERTVILLE,THONON-LES-BAINS,3
66,NANTERRE,PONTOISE,CRETEIL,LILLE,BEAUVAIS,NANCY,PONTOISE,2
67,NANTERRE,CRETEIL,PONTOISE,LILLE,BEAUVAIS,SENLIS,NANTERRE,1
68,QUIMPER,LORIENT,BREST,CAEN,SAINT-NAZAIRE,LES SABLES-D'OLONNE,QUIMPER,1
69,ROUEN,LE HAVRE,AMIENS,CAEN,BOULOGNE-SUR-MER,COUTANCES,ROUEN,1
70,TOURS,BLOIS,LE MANS,LAVAL,NIORT,SAINT-NAZAIRE,LE MANS,3
71,RENNES,REIMS,ROUEN,LILLE,NANCY,METZ,REIMS,2
72,LYON,BESANCON,GRENOBLE,SAINT-ETIENNE,CLERMONT-FERRAND,NANCY,BESANCON,2
73,VILLEFRANCHE-SUR-SAONE,BOURGOIN-JALLIEU,BOURG-EN-BRESSE,SAINT-ETIENNE,LONS-LE-SAUNIER,CLERMONT-FERRAND,BOURGOIN-JALLIEU,2
74,CHAMBERY,VALENCE,GAP,BOURGOIN-JALLIEU,LYON,ALBERTVILLE,GAP,3
75,TOURS,ANGERS,LILLE,LE MANS,METZ,BOULOGNE-SUR-MER,TOURS,1
76,TOURS,ANGERS,LILLE,LE MANS,METZ,BOULOGNE-SUR-MER,TOURS,1
77,ARRAS,REIMS,DUNKERQUE,SENLIS,TROYES,BOULOGNE-SUR-MER,SENLIS,4
78,NANTERRE,PONTOISE,MEAUX,SENLIS,BEAUVAIS,EVREUX,SENLIS,4
79,ANGERS,LORIENT,SAINTES,POITIERS,COUTANCES,CLERMONT-FERRAND,SAINTES,3
80,PARIS,CRETEIL,EVRY,PONTOISE,NIORT,PAU,EVRY,3
81,MARSEILLE,NICE,TOULON,LILLE,SAINT-NAZAIRE,BOULOGNE-SUR-MER,NICE,2
82,STRASBOURG,LILLE,LYON,ANGERS,NANCY,BEAUVAIS,STRASBOURG,1
83,TOULON,DRAGUIGNAN,NICE,GRASSE,PRIVAS,DIGNE-LES-BAINS,DRAGUIGNAN,2
84,TOULOUSE,BAYONNE,PERPIGNAN,MONTPELLIER,LILLE,ALBI,TOULOUSE,1
85,SAVERNE,COLMAR,SARREGUEMINES,VILLEFRANCHE-SUR-SAONE,NIORT,LES SABLES-D'OLONNE,SARREGUEMINES,3
86,MARSEILLE,CRETEIL,MEAUX,LILLE,SAINT-NAZAIRE,BOULOGNE-SUR-MER,CRETEIL,2
87,MARSEILLE,NICE,TOULOUSE,LILLE,NANCY,METZ,NICE,2
88,TOULON,NIMES,VALENCE,SAINT-ETIENNE,CLERMONT-FERRAND,NANCY,NIMES,2
89,TOURS,ANGERS,CLERMONT-FERRAND,POITIERS,LIMOGES,LILLE,CLERMONT-FERRAND,3
90,LORIENT,MARSEILLE,NICE,LYON,NANCY,LES SABLES-D'OLONNE,LORIENT,1
91,AVIGNON,VALENCE,LYON,MARSEILLE,PRIVAS,BEAUVAIS,VALENCE,2
92,BOURG-EN-BRESSE,VALENCE,SAINT-ETIENNE,DIJON,CLERMONT-FERRAND,LONS-LE-SAUNIER,BOURG-EN-BRESSE,1
93,BAR-LE-DUC,NANCY,METZ,CHALONS-EN-CHAMPAGNE,SAVERNE,TROYES,BAR-LE-DUC,1
94,ANGOULEME,PERIGUEUX,POITIERS,LIMOGES,PAU,BERGERAC,LIMOGES,4
95,RENNES,QUIMPER,TARASCON,BREST,COUTANCES,SAINT-NAZAIRE,TARASCON,3
96,LYON,VILLEFRANCHE-SUR-SAONE,SAINT-ETIENNE,VALENCE,ROANNE,LONS-LE-SAUNIER,SAINT-ETIENNE,3
97,DRAGUIGNAN,AVIGNON,NICE,GRASSE,GAP,DIGNE-LES-BAINS,DRAGUIGNAN,1
98,AUCH,AGEN,BERGERAC,ALBI,CAHORS,TOULOUSE,AUCH,1
99,ALBI,CAHORS,MONTAUBAN,AJACCIO,ALES,AUCH,CAHORS,2
100,LYON,SAINT-ETIENNE,VILLEFRANCHE-SUR-SAONE,MACON,CLERMONT-FERRAND,ROANNE,MACON,4
101,ARRAS,DUNKERQUE,DOUAI,LE HAVRE,LES SABLES-D'OLONNE,CHARLEVILLE-MEZIERES,CHARLEVILLE-MEZIERES,6
102,AVIGNON,NIMES,PONTOISE,EVRY,SENLIS,BEAUVAIS,AVIGNON,1
103,PERPIGNAN,NARBONNE,CARPENTRAS,AVIGNON,NIMES,LES SABLES-D'OLONNE,PERPIGNAN,1
104,BOBIGNY,PONTOISE,EVRY,LILLE,BEAUVAIS,SENLIS,PONTOISE,2
105,TOURS,ANGERS,LE MANS,LILLE,NANCY,METZ,TOURS,1
106,TOULON,PERPIGNAN,NARBONNE,BEZIERS,AVIGNON,PAU,PERPIGNAN,2
107,CRETEIL,EVRY,MARSEILLE,TOULON,NANCY,METZ,EVRY,2
108,VALENCE,GRENOBLE,SAINT-ETIENNE,CARPENTRAS,GAP,LE PUY-EN-VELAY,VALENCE,1
109,NANTERRE,CRETEIL,PONTOISE,EVRY,BEAUVAIS,SENLIS,NANTERRE,1
110,BAYONNE,LA ROCHELLE,PAU,MONT-DE-MARSAN,PERIGUEUX,TARBES,PAU,3
111,ARRAS,DOUAI,BETHUNE,DUNKERQUE,BOULOGNE-SUR-MER,SAINT-NAZAIRE,DOUAI,2
112,CRETEIL,MARSEILLE,TOULOUSE,LYON,NANCY,BEAUVAIS,CRETEIL,1
113,CHALONS-EN-CHAMPAGNE,LAON,SOISSONS,NANCY,SAINT-QUENTIN,CHARLEVILLE-MEZIERES,LAON,2
114,STRASBOURG,AVIGNON,PERPIGNAN,PONTOISE,PERIGUEUX,ALBI,STRASBOURG,1
115,POITIERS,ANGERS,SAINT-ETIENNE,LILLE,PAU,SAINT-NAZAIRE,POITIERS,1
116,PONTOISE,COMPIEGNE,NANTERRE,LILLE,NANCY,METZ,COMPIEGNE,2
117,EVREUX,AMIENS,ORLEANS,LE HAVRE,LIMOGES,SAINT-NAZAIRE,AMIENS,2
118,VILLEFRANCHE-SUR-SAONE,BOURG-EN-BRESSE,MACON,NEVERS,MOULINS,ROANNE,MOULINS,5
119,LE MANS,ANGERS,ORLEANS,POITIERS,CLERMONT-FERRAND,CHATEAUROUX,CHATEAUROUX,6
120,COLMAR,SAVERNE,MULHOUSE,NANCY,METZ,AMIENS,SAVERNE,2
121,COLMAR,MULHOUSE,DIJON,NANCY,METZ,LILLE,MULHOUSE,2
122,TOULON,NICE,GRENOBLE,GRASSE,NANCY,CLERMONT-FERRAND,TOULON,1
123,BESANCON,NANCY,COLMAR,METZ,BOURG-EN-BRESSE,TROYES,NANCY,2
124,CRETEIL,NANTERRE,EVRY,PONTOISE,NANCY,BEAUVAIS,CRETEIL,1
125,ANGERS,LAVAL,RENNES,BREST,PAU,NANCY,LAVAL,2
126,AMIENS,MEAUX,TROYES,VALENCIENNES,BEAUVAIS,NANCY,TROYES,3
127,BOURG-EN-BRESSE,CLERMONT-FERRAND,METZ,NANCY,GRENOBLE,MULHOUSE,METZ,3
128,ANGERS,TOURS,POITIERS,TROYES,NANCY,SAINT-NAZAIRE,ANGERS,1
129,STRASBOURG,COLMAR,BELFORT,SAVERNE,VESOUL,NANCY,COLMAR,2
130,ANGOULEME,SAINTES,BAYONNE,PERIGUEUX,BRIVE-LA-GAILLARDE,PAU,BRIVE-LA-GAILLARDE,5
131,BAYONNE,TOULOUSE,MONTPELLIER,PAU,DRAGUIGNAN,PERPIGNAN,BAYONNE,1
132,MELUN,NANTERRE,PONTOISE,EVRY,NANCY,BOULOGNE-SUR-MER,MELUN,1
133,LE HAVRE,CAEN,ANGERS,LE MANS,LISIEUX,SAINT-NAZAIRE,LE HAVRE,1
134,MONTPELLIER,NIMES,BEZIERS,NARBONNE,COUTANCES,PERPIGNAN,COUTANCES,5
135,GRENOBLE,DIJON,BOURG-EN-BRESSE,THONON-LES-BAINS,CLERMONT-FERRAND,GAP,GRENOBLE,1
136,RENNES,LILLE,LE HAVRE,CAEN,SAINT-NAZAIRE,BOULOGNE-SUR-MER,RENNES,1
137,BETHUNE,DOUAI,VALENCIENNES,ARRAS,NANCY,METZ,BETHUNE,1
138,RENNES,NANTERRE,LAVAL,PONTOISE,NANCY,METZ,RENNES,1
139,NIMES,NICE,NARBONNE,QUIMPER,ALBI,PAU,ALBI,5
140,COUTANCES,CHERBOURG,ALENCON,ARGENTAN,CAEN,LAVAL,CHERBOURG,2
141,VANNES,LORIENT,LAVAL,LA ROCHE-SUR-YON,NIORT,COUTANCES,VANNES,1
142,ARRAS,LILLE,DUNKERQUE,CRETEIL,NANCY,BOULOGNE-SUR-MER,ARRAS,1
143,LILLE,TOURS,CAEN,BREST,METZ,SAINT-NAZAIRE,CAEN,3
144,MARSEILLE,LILLE,AIX-EN-PROVENCE,BOBIGNY,PERPIGNAN,NANCY,MARSEILLE,1
145,PERIGUEUX,BERGERAC,PAU,BRIVE-LA-GAILLARDE,SAINTES,MONT-DE-MARSAN,BRIVE-LA-GAILLARDE,4
146,CRETEIL,BOBIGNY,PONTOISE,EVRY,LISIEUX,BEAUVAIS,LISIEUX,5
147,CARPENTRAS,AVIGNON,PRIVAS,NIMES,MARSEILLE,GAP,PRIVAS,3
148,MONTAUBAN,AGEN,PAU,TOULOUSE,TARBES,ALBI,MONTAUBAN,1
149,ANGERS,STRASBOURG,POITIERS,LILLE,NANCY,METZ,ANGERS,1
150,MARSEILLE,RENNES,LILLE,SAINT-ETIENNE,SAINT-NAZAIRE,NANCY,MARSEILLE,1
151,ORLEANS,RENNES,POITIERS,TOULON,SAINT-NAZAIRE,NANCY,ORLEANS,1
152,LA ROCHELLE,BAYONNE,TOULOUSE,POITIERS,PAU,NIORT,BAYONNE,2
153,VALENCIENNES,BETHUNE,AMIENS,PARIS,BOULOGNE-SUR-MER,LAON,VALENCIENNES,1
154,COLMAR,MULHOUSE,SARREGUEMINES,AIX-EN-PROVENCE,METZ,NANCY,MULHOUSE,2
155,ANGOULEME,AGEN,PERIGUEUX,MONT-DE-MARSAN,PAU,BRIVE-LA-GAILLARDE,PERIGUEUX,3
156,STRASBOURG,VERSAILLES,PONTOISE,LYON,NANCY,LONS-LE-SAUNIER,STRASBOURG,1
157,MEAUX,PONTOISE,LILLE,BEAUVAIS,ANNECY,SENLIS,BEAUVAIS,4
158,NIMES,NICE,MARSEILLE,DUNKERQUE,LES SABLES-D'OLONNE,BOULOGNE-SUR-MER,DUNKERQUE,4
159,AMIENS,ALENCON,BEAUVAIS,CHARTRES,LE MANS,SENLIS,ALENCON,2
160,CHALONS-EN-CHAMPAGNE,REIMS,NANCY,TROYES,DIJON,SOISSONS,CHALONS-EN-CHAMPAGNE,1
161,BESANCON,CHALON-SUR-SAONE,LONS-LE-SAUNIER,BELFORT,VESOUL,BOURG-EN-BRESSE,LONS-LE-SAUNIER,3
162,MELUN,MEAUX,EVREUX,ROUEN,METZ,NANCY,EVREUX,3
163,LORIENT,LE HAVRE,RENNES,DUNKERQUE,BOULOGNE-SUR-MER,COUTANCES,DUNKERQUE,4
164,LE HAVRE,ANGERS,CAEN,LE MANS,BOULOGNE-SUR-MER,BEAUVAIS,LE HAVRE,1
165,MARSEILLE,LILLE,TOULON,NARBONNE,PERPIGNAN,CLERMONT-FERRAND,LILLE,2
166,MEAUX,VERSAILLES,PONTOISE,LILLE,BEAUVAIS,NANCY,VERSAILLES,2
167,AJACCIO,BASTIA,LA ROCHE-SUR-YON,BREST,SAINT-NAZAIRE,COUTANCES,BASTIA,2
168,GRASSE,NICE,MARSEILLE,AVIGNON,SAINT-NAZAIRE,CLERMONT-FERRAND,GRASSE,1
169,MEAUX,CRETEIL,PONTOISE,EVRY,NANCY,METZ,MEAUX,1
170,PONTOISE,NANTERRE,CRETEIL,EVRY,PERPIGNAN,BOULOGNE-SUR-MER,PONTOISE,1
171,RENNES,TOURS,POITIERS,LYON,SAINT-BRIEUC,BOULOGNE-SUR-MER,SAINT-BRIEUC,5
172,VALENCE,SAINT-ETIENNE,DIJON,BOURG-EN-BRESSE,CLERMONT-FERRAND,NANCY,SAINT-ETIENNE,2
173,NIMES,AVIGNON,TOULOUSE,BEZIERS,PERPIGNAN,CASTRES,NIMES,1
174,MARSEILLE,NANTERRE,CRETEIL,PONTOISE,NANCY,BOULOGNE-SUR-MER,MARSEILLE,1
175,POITIERS,TOURS,BESANCON,BOURG-EN-BRESSE,LIMOGES,CLERMONT-FERRAND,POITIERS,1
176,VALENCE,DIJON,BOURG-EN-BRESSE,DUNKERQUE,SAINT-NAZAIRE,CLERMONT-FERRAND,DIJON,2
177,ANGERS,DIJON,LILLE,TOULON,CLERMONT-FERRAND,NANCY,DIJON,2
178,BESANCON,MACON,AUXERRE,LYON,MULHOUSE,NANCY,AUXERRE,3
179,BOURG-EN-BRESSE,ORLEANS,BESANCON,ROUEN,CLERMONT-FERRAND,NANCY,BOURG-EN-BRESSE,1
180,LILLE,LE HAVRE,STRASBOURG,PARIS,NANCY,METZ,LE HAVRE,2
181,VALENCE,AVIGNON,PRIVAS,BEZIERS,NARBONNE,LE PUY-EN-VELAY,PRIVAS,3
182,VERSAILLES,CRETEIL,EVRY,PONTOISE,NANCY,METZ,VERSAILLES,1
183,GRASSE,MARSEILLE,NICE,NIORT,DRAGUIGNAN,DIGNE-LES-BAINS,GRASSE,1
184,MARSEILLE,AIX-EN-PROVENCE,LILLE,STRASBOURG,SAINT-NAZAIRE,BOULOGNE-SUR-MER,MARSEILLE,1
185,AJACCIO,BASTIA,NARBONNE,LYON,NANCY,PAU,NARBONNE,3
186,ARRAS,BETHUNE,DUNKERQUE,DOUAI,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE,BETHUNE,2
187,NANTERRE,CRETEIL,PONTOISE,EVRY,NANCY,METZ,NANTERRE,1
188,LORIENT,BREST,ANGERS,QUIMPER,SAINT-NAZAIRE,NIORT,BREST,2
189,TOURS,ORLEANS,LE MANS,LAVAL,SAINT-NAZAIRE,LES SABLES-D'OLONNE,ORLEANS,2
190,STRASBOURG,MULHOUSE,NANCY,REIMS,METZ,THIONVILLE,THIONVILLE,6
191,NICE,AIX-EN-PROVENCE,DRAGUIGNAN,TOULON,PERPIGNAN,NANCY,NICE,1
192,TOULON,AVIGNON,NICE,LE HAVRE,PERPIGNAN,SAINT-NAZAIRE,AVIGNON,2
193,MEAUX,NANTERRE,PONTOISE,EVRY,BEAUVAIS,SOISSONS,MEAUX,1
194,VERSAILLES,CHARTRES,ROUEN,LILLE,NANCY,BOULOGNE-SUR-MER,CHARTRES,2
195,EVREUX,AMIENS,CAEN,ROUEN,COUTANCES,ALENCON,ALENCON,6
196,DRAGUIGNAN,AVIGNON,GRASSE,PAU,NICE,PERPIGNAN,DRAGUIGNAN,1
197,EVRY,CHARTRES,CRETEIL,LE MANS,NANCY,BEAUVAIS,CHARTRES,2
198,LILLE,TOULOUSE,BOBIGNY,LYON,BEAUVAIS,PAU,LILLE,1
199,TOULON,NICE,MONTPELLIER,PERPIGNAN,BEZIERS,NANCY,TOULON,1
200,VILLEFRANCHE-SUR-SAONE,BOURGOIN-JALLIEU,SAINT-ETIENNE,LYON,ROANNE,LE PUY-EN-VELAY,ROANNE,5
201,LA ROCHELLE,TOURS,POITIERS,SAINTES,LIMOGES,LES SABLES-D'OLONNE,LIMOGES,5
202,ROUEN,LILLE,TOULOUSE,GRASSE,NANCY,LIMOGES,ROUEN,1
203,PERPIGNAN,GRASSE,NICE,CLERMONT-FERRAND,TOULON,SAINT-NAZAIRE,PERPIGNAN,1
204,CHALON-SUR-SAONE,DIJON,BOURG-EN-BRESSE,LYON,LONS-LE-SAUNIER,AUXERRE,CHALON-SUR-SAONE,1
205,VALENCE,AVIGNON,CARPENTRAS,PRIVAS,BEZIERS,PERPIGNAN,VALENCE,1
206,PERPIGNAN,GRASSE,NICE,CLERMONT-FERRAND,TOULON,SAINT-NAZAIRE,PERPIGNAN,1
207,ANGERS,TOURS,POITIERS,BOURGES,LIMOGES,NANCY,BOURGES,4
208,CRETEIL,LILLE,POITIERS,ORLEANS,BOULOGNE-SUR-MER,LISIEUX,POITIERS,3
209,BOBIGNY,MEAUX,MARSEILLE,PONTOISE,NANCY,METZ,BOBIGNY,1
210,ARRAS,LILLE,BETHUNE,TOURS,METZ,BEAUVAIS,ARRAS,1
211,BEZIERS,NARBONNE,PERPIGNAN,TARASCON,CARPENTRAS,PRIVAS,BEZIERS,1
212,LYON,NICE,RENNES,TOULON,SAINT-NAZAIRE,PAU,LYON,1
213,PERPIGNAN,MONTPELLIER,PAU,AGEN,BEZIERS,NARBONNE,PAU,3
214,SAINT-NAZAIRE,AMIENS,BREST,PONTOISE,LISIEUX,MEAUX,SAINT-NAZAIRE,1
215,REIMS,ORLEANS,LE MANS,EVREUX,BEAUVAIS,BOULOGNE-SUR-MER,REIMS,1
216,MEAUX,ARRAS,LILLE,MARSEILLE,SAINT-NAZAIRE,BOULOGNE-SUR-MER,ARRAS,2
217,NARBONNE,NIMES,AIX-EN-PROVENCE,TOULOUSE,PERPIGNAN,CASTRES,NARBONNE,1
218,ROUEN,TOURS,ORLEANS,LILLE,NANCY,SENLIS,ROUEN,1
219,CHALON-SUR-SAONE,BESANCON,AUXERRE,LONS-LE-SAUNIER,TROYES,BOURG-EN-BRESSE,AUXERRE,3
220,AVIGNON,SAINT-ETIENNE,NIMES,GRASSE,PRIVAS,CLERMONT-FERRAND,SAINT-ETIENNE,2
221,SAINT-MALO,VANNES,BOULOGNE-SUR-MER,POITIERS,COUTANCES,SAINT-NAZAIRE,BOULOGNE-SUR-MER,3
222,STRASBOURG,COLMAR,MULHOUSE,SAVERNE,NANCY,LONS-LE-SAUNIER,COLMAR,2
223,MARSEILLE,AIX-EN-PROVENCE,AVIGNON,TOULON,CLERMONT-FERRAND,PERPIGNAN,MARSEILLE,1
224,LILLE,DUNKERQUE,DOUAI,ARRAS,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE,AVESNES-SUR-HELPE,6
225,VILLEFRANCHE-SUR-SAONE,BOURG-EN-BRESSE,BESANCON,LYON,LONS-LE-SAUNIER,VESOUL,VILLEFRANCHE-SUR-SAONE,1
226,ANGERS,TOURS,LE HAVRE,LE MANS,NANCY,SAINT-NAZAIRE,ANGERS,1
227,AIX-EN-PROVENCE,AVIGNON,MARSEILLE,TOULOUSE,NANCY,METZ,AIX-EN-PROVENCE,1
228,BOBIGNY,CRETEIL,PONTOISE,MARSEILLE,BEAUVAIS,BOULOGNE-SUR-MER,BOBIGNY,1
229,MARSEILLE,AIX-EN-PROVENCE,MONTPELLIER,TOULOUSE,PERPIGNAN,PAU,MONTPELLIER,3
230,MARSEILLE,TOULOUSE,LYON,LILLE,CLERMONT-FERRAND,NANCY,TOULOUSE,2
231,MARSEILLE,LILLE,ANGERS,TOULON,SAINT-NAZAIRE,BOULOGNE-SUR-MER,LILLE,2
232,MONTPELLIER,CLERMONT-FERRAND,GRENOBLE,SAINT-ETIENNE,LE HAVRE,GAP,CLERMONT-FERRAND,2
233,CRETEIL,BOBIGNY,EVRY,LILLE,NANCY,SENLIS,CRETEIL,1
234,POITIERS,ANGERS,CHARTRES,NIORT,LE MANS,SAINT-NAZAIRE,NIORT,4
235,BESANCON,COLMAR,TROYES,METZ,BOURG-EN-BRESSE,NANCY,METZ,4
236,ANGERS,LE MANS,RENNES,LA ROCHE-SUR-YON,SAINT-NAZAIRE,LES SABLES-D'OLONNE,LE MANS,2
237,STRASBOURG,RENNES,LILLE,BOURG-EN-BRESSE,CLERMONT-FERRAND,LIMOGES,STRASBOURG,1
238,STRASBOURG,LORIENT,LE HAVRE,SAINT-NAZAIRE,METZ,NANCY,LORIENT,2
239,POITIERS,BESANCON,LILLE,BETHUNE,BOULOGNE-SUR-MER,NANCY,BESANCON,2
240,MONTAUBAN,LA ROCHELLE,SAINTES,TOULOUSE,ALBI,TARBES,ALBI,5
241,ANGOULEME,POITIERS,TOULOUSE,SAINTES,PAU,NIORT,ANGOULEME,1
242,GRENOBLE,BOURGOIN-JALLIEU,MARSEILLE,TOULON,LIMOGES,METZ,GRENOBLE,1
