Identifiant,Ville obtenue,Rang du voeu satisfait,Voeu 1,Voeu 2,Voeu 3,Voeu 4,Voeu 5,Voeu 6
66,NANTERRE,1,NANTERRE,PONTOISE,CRETEIL,LILLE,BEAUVAIS,NANCY
67,NANTERRE,1,NANTERRE,CRETEIL,PONTOISE,LILLE,BEAUVAIS,SENLIS
68,QUIMPER,1,QUIMPER,LORIENT,BREST,CAEN,SAINT-NAZAIRE,'LES SABLES-D''OLONNE'
69,ROUEN,1,ROUEN,LE HAVRE,AMIENS,CAEN,BOULOGNE-SUR-MER,COUTANCES
70,TOURS,1,TOURS,BLOIS,LE MANS,LAVAL,NIORT,SAINT-NAZAIRE
71,REIMS,2,RENNES,REIMS,ROUEN,LILLE,NANCY,METZ
72,BESANCON,2,LYON,BESANCON,GRENOBLE,SAINT-ETIENNE,CLERMONT-FERRAND,NANCY
73,BOURGOIN-JALLIEU,2,VILLEFRANCHE-SUR-SAONE,BOURGOIN-JALLIEU,BOURG-EN-BRESSE,SAINT-ETIENNE,LONS-LE-SAUNIER,CLERMONT-FERRAND
74,GAP,3,CHAMBERY,VALENCE,GAP,BOURGOIN-JALLIEU,LYON,ALBERTVILLE
75,TOURS,1,TOURS,ANGERS,LILLE,LE MANS,METZ,BOULOGNE-SUR-MER
76,TOURS,1,TOURS,ANGERS,LILLE,LE MANS,METZ,BOULOGNE-SUR-MER
77,ARRAS,1,ARRAS,REIMS,DUNKERQUE,SENLIS,TROYES,BOULOGNE-SUR-MER
78,SENLIS,4,NANTERRE,PONTOISE,MEAUX,SENLIS,BEAUVAIS,EVREUX
79,COUTANCES,5,ANGERS,LORIENT,SAINTES,POITIERS,COUTANCES,CLERMONT-FERRAND
80,NIORT,5,PARIS,CRETEIL,EVRY,PONTOISE,NIORT,PAU
81,NICE,2,MARSEILLE,NICE,TOULON,LILLE,SAINT-NAZAIRE,BOULOGNE-SUR-MER
82,STRASBOURG,1,STRASBOURG,LILLE,LYON,ANGERS,NANCY,BEAUVAIS
83,DRAGUIGNAN,2,TOULON,DRAGUIGNAN,NICE,GRASSE,PRIVAS,DIGNE-LES-BAINS
84,TOULOUSE,1,TOULOUSE,BAYONNE,PERPIGNAN,MONTPELLIER,LILLE,ALBI
85,SAVERNE,1,SAVERNE,COLMAR,SARREGUEMINES,VILLEFRANCHE-SUR-SAONE,NIORT,'LES SABLES-D''OLONNE'
86,CRETEIL,2,MARSEILLE,CRETEIL,MEAUX,LILLE,SAINT-NAZAIRE,BOULOGNE-SUR-MER
87,METZ,6,MARSEILLE,NICE,TOULOUSE,LILLE,NANCY,METZ
88,NIMES,2,TOULON,NIMES,VALENCE,SAINT-ETIENNE,CLERMONT-FERRAND,NANCY
89,CLERMONT-FERRAND,3,TOURS,ANGERS,CLERMONT-FERRAND,POITIERS,LIMOGES,LILLE
90,LORIENT,1,LORIENT,MARSEILLE,NICE,LYON,NANCY,'LES SABLES-D''OLONNE'
91,AVIGNON,1,AVIGNON,VALENCE,LYON,MARSEILLE,PRIVAS,BEAUVAIS
92,BOURG-EN-BRESSE,1,BOURG-EN-BRESSE,VALENCE,SAINT-ETIENNE,DIJON,CLERMONT-FERRAND,LONS-LE-SAUNIER
93,BAR-LE-DUC,1,BAR-LE-DUC,NANCY,METZ,CHALONS-EN-CHAMPAGNE,SAVERNE,TROYES
94,PERIGUEUX,2,ANGOULEME,PERIGUEUX,POITIERS,LIMOGES,PAU,BERGERAC
95,TARASCON,3,RENNES,QUIMPER,TARASCON,BREST,COUTANCES,SAINT-NAZAIRE
96,ROANNE,5,LYON,VILLEFRANCHE-SUR-SAONE,SAINT-ETIENNE,VALENCE,ROANNE,LONS-LE-SAUNIER
97,DRAGUIGNAN,1,DRAGUIGNAN,AVIGNON,NICE,GRASSE,GAP,DIGNE-LES-BAINS
98,AUCH,1,AUCH,AGEN,BERGERAC,ALBI,CAHORS,TOULOUSE
99,CAHORS,2,ALBI,CAHORS,MONTAUBAN,AJACCIO,ALES,AUCH
100,SAINT-ETIENNE,2,LYON,SAINT-ETIENNE,VILLEFRANCHE-SUR-SAONE,MACON,CLERMONT-FERRAND,ROANNE
101,CHARLEVILLE-MEZIERES,6,ARRAS,DUNKERQUE,DOUAI,LE HAVRE,'LES SABLES-D''OLONNE',CHARLEVILLE-MEZIERES
102,AVIGNON,1,AVIGNON,NIMES,PONTOISE,EVRY,SENLIS,BEAUVAIS
103,PERPIGNAN,1,PERPIGNAN,NARBONNE,CARPENTRAS,AVIGNON,NIMES,'LES SABLES-D''OLONNE'
104,PONTOISE,2,BOBIGNY,PONTOISE,EVRY,LILLE,BEAUVAIS,SENLIS
105,TOURS,1,TOURS,ANGERS,LE MANS,LILLE,NANCY,METZ
106,PERPIGNAN,2,TOULON,PERPIGNAN,NARBONNE,BEZIERS,AVIGNON,PAU
107,EVRY,2,CRETEIL,EVRY,MARSEILLE,TOULON,NANCY,METZ
108,VALENCE,1,VALENCE,GRENOBLE,SAINT-ETIENNE,CARPENTRAS,GAP,LE PUY-EN-VELAY
109,NANTERRE,1,NANTERRE,CRETEIL,PONTOISE,EVRY,BEAUVAIS,SENLIS
110,BAYONNE,1,BAYONNE,LA ROCHELLE,PAU,MONT-DE-MARSAN,PERIGUEUX,TARBES
111,DOUAI,2,ARRAS,DOUAI,BETHUNE,DUNKERQUE,BOULOGNE-SUR-MER,SAINT-NAZAIRE
112,CRETEIL,1,CRETEIL,MARSEILLE,TOULOUSE,LYON,NANCY,BEAUVAIS
113,LAON,2,CHALONS-EN-CHAMPAGNE,LAON,SOISSONS,NANCY,SAINT-QUENTIN,CHARLEVILLE-MEZIERES
114,STRASBOURG,1,STRASBOURG,AVIGNON,PERPIGNAN,PONTOISE,PERIGUEUX,ALBI
115,POITIERS,1,POITIERS,ANGERS,SAINT-ETIENNE,LILLE,PAU,SAINT-NAZAIRE
116,COMPIEGNE,2,PONTOISE,COMPIEGNE,NANTERRE,LILLE,NANCY,METZ
117,EVREUX,1,EVREUX,AMIENS,ORLEANS,LE HAVRE,LIMOGES,SAINT-NAZAIRE
118,MOULINS,5,VILLEFRANCHE-SUR-SAONE,BOURG-EN-BRESSE,MACON,NEVERS,MOULINS,ROANNE
119,CHATEAUROUX,6,LE MANS,ANGERS,ORLEANS,POITIERS,CLERMONT-FERRAND,CHATEAUROUX
120,COLMAR,1,COLMAR,SAVERNE,MULHOUSE,NANCY,METZ,AMIENS
121,MULHOUSE,2,COLMAR,MULHOUSE,DIJON,NANCY,METZ,LILLE
122,TOULON,1,TOULON,NICE,GRENOBLE,GRASSE,NANCY,CLERMONT-FERRAND
123,NANCY,2,BESANCON,NANCY,COLMAR,METZ,BOURG-EN-BRESSE,TROYES
124,CRETEIL,1,CRETEIL,NANTERRE,EVRY,PONTOISE,NANCY,BEAUVAIS
125,LAVAL,2,ANGERS,LAVAL,RENNES,BREST,PAU,NANCY
126,AMIENS,1,AMIENS,MEAUX,TROYES,VALENCIENNES,BEAUVAIS,NANCY
127,CLERMONT-FERRAND,2,BOURG-EN-BRESSE,CLERMONT-FERRAND,METZ,NANCY,GRENOBLE,MULHOUSE
128,ANGERS,1,ANGERS,TOURS,POITIERS,TROYES,NANCY,SAINT-NAZAIRE
129,COLMAR,2,STRASBOURG,COLMAR,BELFORT,SAVERNE,VESOUL,NANCY
130,BRIVE-LA-GAILLARDE,5,ANGOULEME,SAINTES,BAYONNE,PERIGUEUX,BRIVE-LA-GAILLARDE,PAU
131,BAYONNE,1,BAYONNE,TOULOUSE,MONTPELLIER,PAU,DRAGUIGNAN,PERPIGNAN
132,MELUN,1,MELUN,NANTERRE,PONTOISE,EVRY,NANCY,BOULOGNE-SUR-MER
133,CAEN,2,LE HAVRE,CAEN,ANGERS,LE MANS,LISIEUX,SAINT-NAZAIRE
134,MONTPELLIER,1,MONTPELLIER,NIMES,BEZIERS,NARBONNE,COUTANCES,PERPIGNAN
135,DIJON,2,GRENOBLE,DIJON,BOURG-EN-BRESSE,THONON-LES-BAINS,CLERMONT-FERRAND,GAP
136,RENNES,1,RENNES,LILLE,LE HAVRE,CAEN,SAINT-NAZAIRE,BOULOGNE-SUR-MER
137,BETHUNE,1,BETHUNE,DOUAI,VALENCIENNES,ARRAS,NANCY,METZ
138,RENNES,1,RENNES,NANTERRE,LAVAL,PONTOISE,NANCY,METZ
139,ALBI,5,NIMES,NICE,NARBONNE,QUIMPER,ALBI,PAU
140,ARGENTAN,4,COUTANCES,CHERBOURG,ALENCON,ARGENTAN,CAEN,LAVAL
141,VANNES,1,VANNES,LORIENT,LAVAL,LA ROCHE-SUR-YON,NIORT,COUTANCES
142,ARRAS,1,ARRAS,LILLE,DUNKERQUE,CRETEIL,NANCY,BOULOGNE-SUR-MER
143,LILLE,1,LILLE,TOURS,CAEN,BREST,METZ,SAINT-NAZAIRE
144,LILLE,2,MARSEILLE,LILLE,AIX-EN-PROVENCE,BOBIGNY,PERPIGNAN,NANCY
145,PERIGUEUX,1,PERIGUEUX,BERGERAC,PAU,BRIVE-LA-GAILLARDE,SAINTES,MONT-DE-MARSAN
146,LISIEUX,5,CRETEIL,BOBIGNY,PONTOISE,EVRY,LISIEUX,BEAUVAIS
147,CARPENTRAS,1,CARPENTRAS,AVIGNON,PRIVAS,NIMES,MARSEILLE,GAP
148,TARBES,5,MONTAUBAN,AGEN,PAU,TOULOUSE,TARBES,ALBI
149,ANGERS,1,ANGERS,STRASBOURG,POITIERS,LILLE,NANCY,METZ
150,SAINT-NAZAIRE,5,MARSEILLE,RENNES,LILLE,SAINT-ETIENNE,SAINT-NAZAIRE,NANCY
151,ORLEANS,1,ORLEANS,RENNES,POITIERS,TOULON,SAINT-NAZAIRE,NANCY
152,LA ROCHELLE,1,LA ROCHELLE,BAYONNE,TOULOUSE,POITIERS,PAU,NIORT
153,VALENCIENNES,1,VALENCIENNES,BETHUNE,AMIENS,PARIS,BOULOGNE-SUR-MER,LAON
154,SARREGUEMINES,3,COLMAR,MULHOUSE,SARREGUEMINES,AIX-EN-PROVENCE,METZ,NANCY
155,BRIVE-LA-GAILLARDE,6,ANGOULEME,AGEN,PERIGUEUX,MONT-DE-MARSAN,PAU,BRIVE-LA-GAILLARDE
156,STRASBOURG,1,STRASBOURG,VERSAILLES,PONTOISE,LYON,NANCY,LONS-LE-SAUNIER
157,BEAUVAIS,4,MEAUX,PONTOISE,LILLE,BEAUVAIS,ANNECY,SENLIS
158,DUNKERQUE,4,NIMES,NICE,MARSEILLE,DUNKERQUE,'LES SABLES-D''OLONNE',BOULOGNE-SUR-MER
159,ALENCON,2,AMIENS,ALENCON,BEAUVAIS,CHARTRES,LE MANS,SENLIS
160,CHALONS-EN-CHAMPAGNE,1,CHALONS-EN-CHAMPAGNE,REIMS,NANCY,TROYES,DIJON,SOISSONS
161,LONS-LE-SAUNIER,3,BESANCON,CHALON-SUR-SAONE,LONS-LE-SAUNIER,BELFORT,VESOUL,BOURG-EN-BRESSE
162,METZ,5,MELUN,MEAUX,EVREUX,ROUEN,METZ,NANCY
163,DUNKERQUE,4,LORIENT,LE HAVRE,RENNES,DUNKERQUE,BOULOGNE-SUR-MER,COUTANCES
164,LE HAVRE,1,LE HAVRE,ANGERS,CAEN,LE MANS,BOULOGNE-SUR-MER,BEAUVAIS
165,LILLE,2,MARSEILLE,LILLE,TOULON,NARBONNE,PERPIGNAN,CLERMONT-FERRAND
166,VERSAILLES,2,MEAUX,VERSAILLES,PONTOISE,LILLE,BEAUVAIS,NANCY
167,COUTANCES,6,AJACCIO,BASTIA,LA ROCHE-SUR-YON,BREST,SAINT-NAZAIRE,COUTANCES
168,GRASSE,1,GRASSE,NICE,MARSEILLE,AVIGNON,SAINT-NAZAIRE,CLERMONT-FERRAND
169,MEAUX,1,MEAUX,CRETEIL,PONTOISE,EVRY,NANCY,METZ
170,PONTOISE,1,PONTOISE,NANTERRE,CRETEIL,EVRY,PERPIGNAN,BOULOGNE-SUR-MER
171,SAINT-BRIEUC,5,RENNES,TOURS,POITIERS,LYON,SAINT-BRIEUC,BOULOGNE-SUR-MER
172,VALENCE,1,VALENCE,SAINT-ETIENNE,DIJON,BOURG-EN-BRESSE,CLERMONT-FERRAND,NANCY
173,NIMES,1,NIMES,AVIGNON,TOULOUSE,BEZIERS,PERPIGNAN,CASTRES
174,NANCY,5,MARSEILLE,NANTERRE,CRETEIL,PONTOISE,NANCY,BOULOGNE-SUR-MER
175,POITIERS,1,POITIERS,TOURS,BESANCON,BOURG-EN-BRESSE,LIMOGES,CLERMONT-FERRAND
176,VALENCE,1,VALENCE,DIJON,BOURG-EN-BRESSE,DUNKERQUE,SAINT-NAZAIRE,CLERMONT-FERRAND
177,DIJON,2,ANGERS,DIJON,LILLE,TOULON,CLERMONT-FERRAND,NANCY
178,AUXERRE,3,BESANCON,MACON,AUXERRE,LYON,MULHOUSE,NANCY
179,BOURG-EN-BRESSE,1,BOURG-EN-BRESSE,ORLEANS,BESANCON,ROUEN,CLERMONT-FERRAND,NANCY
180,LE HAVRE,2,LILLE,LE HAVRE,STRASBOURG,PARIS,NANCY,METZ
181,PRIVAS,3,VALENCE,AVIGNON,PRIVAS,BEZIERS,NARBONNE,LE PUY-EN-VELAY
182,VERSAILLES,1,VERSAILLES,CRETEIL,EVRY,PONTOISE,NANCY,METZ
183,GRASSE,1,GRASSE,MARSEILLE,NICE,NIORT,DRAGUIGNAN,DIGNE-LES-BAINS
184,MARSEILLE,1,MARSEILLE,AIX-EN-PROVENCE,LILLE,STRASBOURG,SAINT-NAZAIRE,BOULOGNE-SUR-MER
185,NARBONNE,3,AJACCIO,BASTIA,NARBONNE,LYON,NANCY,PAU
186,AVESNES-SUR-HELPE,6,ARRAS,BETHUNE,DUNKERQUE,DOUAI,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE
187,NANTERRE,1,NANTERRE,CRETEIL,PONTOISE,EVRY,NANCY,METZ
188,BREST,2,LORIENT,BREST,ANGERS,QUIMPER,SAINT-NAZAIRE,NIORT
189,LE MANS,3,TOURS,ORLEANS,LE MANS,LAVAL,SAINT-NAZAIRE,'LES SABLES-D''OLONNE'
190,THIONVILLE,6,STRASBOURG,MULHOUSE,NANCY,REIMS,METZ,THIONVILLE
191,NICE,1,NICE,AIX-EN-PROVENCE,DRAGUIGNAN,TOULON,PERPIGNAN,NANCY
192,TOULON,1,TOULON,AVIGNON,NICE,LE HAVRE,PERPIGNAN,SAINT-NAZAIRE
193,SOISSONS,6,MEAUX,NANTERRE,PONTOISE,EVRY,BEAUVAIS,SOISSONS
194,CHARTRES,2,VERSAILLES,CHARTRES,ROUEN,LILLE,NANCY,BOULOGNE-SUR-MER
195,ALENCON,6,EVREUX,AMIENS,CAEN,ROUEN,COUTANCES,ALENCON
196,DRAGUIGNAN,1,DRAGUIGNAN,AVIGNON,GRASSE,PAU,NICE,PERPIGNAN
197,CHARTRES,2,EVRY,CHARTRES,CRETEIL,LE MANS,NANCY,BEAUVAIS
198,LILLE,1,LILLE,TOULOUSE,BOBIGNY,LYON,BEAUVAIS,PAU
199,NICE,2,TOULON,NICE,MONTPELLIER,PERPIGNAN,BEZIERS,NANCY
200,VILLEFRANCHE-SUR-SAONE,1,VILLEFRANCHE-SUR-SAONE,BOURGOIN-JALLIEU,SAINT-ETIENNE,LYON,ROANNE,LE PUY-EN-VELAY
201,LIMOGES,5,LA ROCHELLE,TOURS,POITIERS,SAINTES,LIMOGES,'LES SABLES-D''OLONNE'
202,ROUEN,1,ROUEN,LILLE,TOULOUSE,GRASSE,NANCY,LIMOGES
203,PERPIGNAN,1,PERPIGNAN,GRASSE,NICE,CLERMONT-FERRAND,TOULON,SAINT-NAZAIRE
204,CHALON-SUR-SAONE,1,CHALON-SUR-SAONE,DIJON,BOURG-EN-BRESSE,LYON,LONS-LE-SAUNIER,AUXERRE
205,PRIVAS,4,VALENCE,AVIGNON,CARPENTRAS,PRIVAS,BEZIERS,PERPIGNAN
206,PERPIGNAN,1,PERPIGNAN,GRASSE,NICE,CLERMONT-FERRAND,TOULON,SAINT-NAZAIRE
207,BOURGES,4,ANGERS,TOURS,POITIERS,BOURGES,LIMOGES,NANCY
208,CRETEIL,1,CRETEIL,LILLE,POITIERS,ORLEANS,BOULOGNE-SUR-MER,LISIEUX
209,BOBIGNY,1,BOBIGNY,MEAUX,MARSEILLE,PONTOISE,NANCY,METZ
210,BETHUNE,3,ARRAS,LILLE,BETHUNE,TOURS,METZ,BEAUVAIS
211,BEZIERS,1,BEZIERS,NARBONNE,PERPIGNAN,TARASCON,CARPENTRAS,PRIVAS
212,LYON,1,LYON,NICE,RENNES,TOULON,SAINT-NAZAIRE,PAU
213,PAU,3,PERPIGNAN,MONTPELLIER,PAU,AGEN,BEZIERS,NARBONNE
214,SAINT-NAZAIRE,1,SAINT-NAZAIRE,AMIENS,BREST,PONTOISE,LISIEUX,MEAUX
215,REIMS,1,REIMS,ORLEANS,LE MANS,EVREUX,BEAUVAIS,BOULOGNE-SUR-MER
216,ARRAS,2,MEAUX,ARRAS,LILLE,MARSEILLE,SAINT-NAZAIRE,BOULOGNE-SUR-MER
217,NARBONNE,1,NARBONNE,NIMES,AIX-EN-PROVENCE,TOULOUSE,PERPIGNAN,CASTRES
218,ROUEN,1,ROUEN,TOURS,ORLEANS,LILLE,NANCY,SENLIS
219,AUXERRE,3,CHALON-SUR-SAONE,BESANCON,AUXERRE,LONS-LE-SAUNIER,TROYES,BOURG-EN-BRESSE
220,SAINT-ETIENNE,2,AVIGNON,SAINT-ETIENNE,NIMES,GRASSE,PRIVAS,CLERMONT-FERRAND
221,BOULOGNE-SUR-MER,3,SAINT-MALO,VANNES,BOULOGNE-SUR-MER,POITIERS,COUTANCES,SAINT-NAZAIRE
222,MULHOUSE,3,STRASBOURG,COLMAR,MULHOUSE,SAVERNE,NANCY,LONS-LE-SAUNIER
223,MARSEILLE,1,MARSEILLE,AIX-EN-PROVENCE,AVIGNON,TOULON,CLERMONT-FERRAND,PERPIGNAN
224,AVESNES-SUR-HELPE,6,LILLE,DUNKERQUE,DOUAI,ARRAS,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE
225,BOURG-EN-BRESSE,2,VILLEFRANCHE-SUR-SAONE,BOURG-EN-BRESSE,BESANCON,LYON,LONS-LE-SAUNIER,VESOUL
226,ANGERS,1,ANGERS,TOURS,LE HAVRE,LE MANS,NANCY,SAINT-NAZAIRE
227,AIX-EN-PROVENCE,1,AIX-EN-PROVENCE,AVIGNON,MARSEILLE,TOULOUSE,NANCY,METZ
228,BOBIGNY,1,BOBIGNY,CRETEIL,PONTOISE,MARSEILLE,BEAUVAIS,BOULOGNE-SUR-MER
229,MARSEILLE,1,MARSEILLE,AIX-EN-PROVENCE,MONTPELLIER,TOULOUSE,PERPIGNAN,PAU
230,MARSEILLE,1,MARSEILLE,TOULOUSE,LYON,LILLE,CLERMONT-FERRAND,NANCY
231,MARSEILLE,1,MARSEILLE,LILLE,ANGERS,TOULON,SAINT-NAZAIRE,BOULOGNE-SUR-MER
232,CLERMONT-FERRAND,2,MONTPELLIER,CLERMONT-FERRAND,GRENOBLE,SAINT-ETIENNE,LE HAVRE,GAP
233,CRETEIL,1,CRETEIL,BOBIGNY,EVRY,LILLE,NANCY,SENLIS
234,POITIERS,1,POITIERS,ANGERS,CHARTRES,NIORT,LE MANS,SAINT-NAZAIRE
235,TROYES,3,BESANCON,COLMAR,TROYES,METZ,BOURG-EN-BRESSE,NANCY
236,LE MANS,2,ANGERS,LE MANS,RENNES,LA ROCHE-SUR-YON,SAINT-NAZAIRE,'LES SABLES-D''OLONNE'
237,STRASBOURG,1,STRASBOURG,RENNES,LILLE,BOURG-EN-BRESSE,CLERMONT-FERRAND,LIMOGES
238,METZ,5,STRASBOURG,LORIENT,LE HAVRE,SAINT-NAZAIRE,METZ,NANCY
239,POITIERS,1,POITIERS,BESANCON,LILLE,BETHUNE,BOULOGNE-SUR-MER,NANCY
240,MONTAUBAN,1,MONTAUBAN,LA ROCHELLE,SAINTES,TOULOUSE,ALBI,TARBES
